MAL_ID,Synopsis
68,completing job train regard human life black cat underground elite killer powerful secret organization gloomy night hunter develops odd friendship influenced positive outlook life train life deciding abandon role black cat head path honest hunter train impressed train sudden change heart resort extreme measures bring bad luck cat sound
69,edge academy school school elite prepare roles running soldiers major factors battle total control transfer student fit enthusiastic attitude stands balance student body demands notice students moment center understands student dangerous built edge survive passing
71,equipped cutting edge specialized troops private military organization terrorism threats peace earth organization individuals knowledge remarkable ability create powerful devices machinery assigned protect candidate school class close prevent falling enemy hands fellow true identity raised knowledge average school student normal school life enemy forces begun adversary coming girl lot familiar expects
72,school war school trouble takes gun struggles continue living normal deal protecting superior officer decided vacation spend couple weeks
73,tumultuous events school girl return normal school lives efforts civilian population manage mission time attempts support drive wall lives calm appearance independent terrorist organization internal conflicts threaten unity failures powerful arm models worsen situation peace stake life threatening fights choices change future
74,normal girl optimistic energetic sweet child complete cold differences friends time suddenly transfers alice academy prestigious school city friend horrible rumors academy harsh treatment students worry runs friend individuals school institution built government train protect unique powers academy lot trouble finally alice comedy friends academy attempt surrounding student
75,central island middle islands japanese island people school knowing lives remain peaceful taught truth fate defense hostile enemy center fighting existence giant robot guards final
76,ordinary enjoys spending time family friends injured night day save reveals collect dangerous seeds scattered raising heart teaches powerful days seeds appears fate stronger fate refuses reasons collect seeds eyes fate refuses directed clash goals
77,solving incident scattered seeds returns everyday life magic practice morning messages fate crew chance speak person studying day raising heart suddenly calls warns attack girl calls knight proves strength device space time administration bureau step completely crushed fellow mission steal power complete book lost purpose book
80,universal century moved space living colony declares declares war earth federation body ruling earth powerful robots mobile suits gains upper hand months conflict earth federation developed powerful mobile suit called attack colony holding civilian ray suddenly thrown conflict earth space enemy pilot
81,universal century earth federation operation scale assault major city success remaining forces globe earth federation gains upper hand war ground troops planet hunt transferred southeast asia command team ground type pilots operation team forces federation ground troops weapon plan runs pilot met earlier battle resolve continue fighting prove loyalty federation
82,alfred lives neutral colony boys age war earth federation door neighbor pilot prototype developed secret earth federation colony forces team assembled colony steal destroy breaks federation forces alfred mobile suit shot bernard start mutual friendship alfred learn war acquire colony aid team mission
83,shortly federation accused secret mobile intelligence officer alice miller assigned investigate disappearance findings determine fate team
84,universal century defeated war earth federation led fled final battle attempt rise sending pilot federation base steal developed prototype deadly nuclear threatened suit seeking retain peace earth federation newly developed carrier recover stolen unit remaining pilots pilot remaining prototype crew determined stolen prevent starting war
85,universal century war earth federation earth federation elite task force responsible hunting remaining forces power spurring creation called earth union lives colony green base trouble officer event attack led pilot prototype middle dangerous conflict
86,universal century earth union emerged war earth federation cost devastating losses war remains powerful led plans earth space flagship heads colony repairs living colony junk dealer struggling money sister school discovery escape pilot friends led hopes stealing mobile suit sell fortune ship seeking defeat friends dragged conflict bring space earth
87,universal century command rebels outer space firmly believes achieve peace space plans crash giant earth plunge planet winter anticipates opportunity settle ray reluctant allies times causing death war earth federation bell unit power dangerous goal leading defense earth veteran bright ray mobile suit conclusion original bell final conflict decide fate earth standing
88,universal century federation government rebel vanguard echo earth space breaks forcing friends political turmoil war meets seeks create political power called vanguard muscle family schemes restore rule establish economic benefit devastating quality life common people earth mobile suit mother choose protecting status federation status life
89,universal century empire hostile control space colony earth expired vanguard rules subjects routinely public executions living central europe space joins league frustrated earth federation inability combat empire pilot victory mobile suit capable holding elite forces empire hoping protect friend parents ranks federation fights victory bring empire
90,united earth alliance powerful military organization ruled earth space iron decades proclaimed opposition leader colony bitter colonial rebels launched operation sending powerful mobile suits earth built virtually material called assault alliance organization pilot colony leader forced crash landing ocean atmospheric battle pilot coming daughter peace seeking politician witnesses earth realize impact lives earth space
92,space colony declared independence earth federation devastating space war war earth space federation responded space revolutionary army mobile suits called space revolutionary forces played trump card dropped hundreds space earth plunging planet nuclear winter federation collapsed space revolutionary army unable earth aftermath colony drop passed war federation earth restore space colonial leaders rebuilding forces chance discovered federation mobile suit ship struggle powers mistakes
93,era space colony remains neutral war human biological altered birth people remain planet earth deep drove advanced space seeking shelter coordinator university student life thrown disarray military organization composed attacks colony effort steal set art military mobile suits manages mobile suits control final strike surviving battle college friends crew ship earth alliance soldiers experience war loss
94,era mobile suits destruction neutral country entire family killed violence life pursuit earth natural forces impression responsible family death military forces eventually gaining access prototype mobile suit veteran war employed service diplomat drawn conflict human artificially enhanced birth biological advantages war head violence inevitable bitter steer pilot rage desire
95,correct century devastating conflict left broken earth moon earth recover people moon check earth fit boy earth mission spending planet family living society family wealthy status coming age giant stone white surprise suddenly earth intent force attack white broken mobile suit called forces earth moon pilot people peace avoid catastrophic war
96,future century countries earth surface exist separate floating space planet decided participation fight colony determine fit japan champion role searches brother criminal allegedly murdered mother highly advanced weapon power mass destruction bring justice colony colony meeting allies enemies fight armed strength truth suffering personal national
97,flight dominant mode transportation form crystals produced planet organization solely guild authority monopoly engines ecological disasters countries guild disputes caught middle conflict sky person fly freely sky dream parents son famous pilot head friend job passing air current called grand stream hostile nations standard struggle survive rated delivery bring girl hamilton dragged conflict pits guild
98,ability elements called brought academy battle creatures called background decide care fight
100,father robust moves mansion beautiful garden dream house girl age disappointment father equally aged opportunity time life boys borrow powers request feels protect source energy life family save earth enemy disaster
101,search bound sky centuries hearing tale mother people attempt money town expect stay meets unusual girl drastic invited stay staying town friends decides putting search hold search hold growing town closer
102,school spending days female responsibility mind life takes unexpected day returns task disappeared appearing abandoned lack responsibility knowledge injured heart disappearance mother time ride
104,stream hung tree nearby key returning stolen stolen forced wife producing family human blood mixed modern day time blood birthday brother thrown party party plans kill powers rest family destroy family switch frequently control coming relationship worker evil
105,love boys reveals guy view meet normal school guys minds quiet friends feelings begun change proclaimed master rules ready sweep feet sports bit matters heart romantic change lives
106,girl poor family quietly standing friend popular powerful rich boys school red card declaration war beaten starting fall starts meets eye
107,boy remarkable skills feared thieves planet partner town town stealing security bonds arm perform effectively deadly attack king
108,king partner bars seventh notorious prison complex seek steal dream escape prison dreams
109,japan distant future crime common government citizens combat wave wrongdoing armed police tokyo established hopes hunting criminals force student dreams saving money france cook forced tough choice jobs chaotic city tokyo imminent crime lot cooking
110,takes century china weakened country close chaos era called era cooking wars era chefs cooking styles improve skills china country grade cooking land person jail authority chefs compete gain respect power risks losing country china major regions beijing shanghai takes death mother called title master mother restaurant takes mother master travel china learn cooking hopes legendary mother meets friends fierce rivals challenge field cooking
